	Socioeconomic Score	Study Hours	Sleep Hours	Attendance (%)	Grades	Sleep + Study	Pass/Fail	Grades Percentile	Ranked Percentile	Percentile Number
710	0.98622	4.3	8.0	61.0	55.0	12.3	Pass	24	90	24
957	0.15677	8.1	8.5	84.0	55.0	16.6	Pass	24	90	24
923	0.16808	8.1	8.8	72.0	55.0	16.9	Pass	24	90	24
867	0.7204	7.3	7.6	45.0	55.0	14.899999999999999	Pass	24	90	24
1363	0.60886	7.9	5.1	44.0	55.0	13.0	Pass	24	90	24
846	0.84444	7.0	8.3	65.0	55.0	15.3	Pass	24	90	24
128	0.14197	8.1	5.8	64.0	55.0	13.899999999999999	Pass	24	90	24
676	0.92056	5.4	9.1	52.0	55.0	14.5	Pass	24	90	24
450	0.98546	4.2	7.1	57.0	55.0	11.3	Pass	24	90	24
582	0.89399	6.9	5.5	62.0	55.0	12.4	Pass	24	90	24
1321	0.79602	7.6	7.5	59.0	55.0	15.1	Pass	24	90	24
1297	0.16922	8.4	5.3	97.0	55.0	13.7	Pass	24	90	24
340	0.92373	6.2	6.9	71.0	55.0	13.100000000000001	Pass	24	90	24
178	0.85183	6.5	9.3	57.0	54.0	15.8	Pass	23	88	23
534	0.91779	5.3	9.5	54.0	54.0	14.8	Pass	23	88	23
335	0.34285	8.1	8.2	70.0	54.0	16.299999999999997	Pass	23	88	23
6	0.56648	7.9	8.1	63.0	54.0	16.0	Pass	23	88	23
502	0.32401	8.0	7.9	76.0	54.0	15.9	Pass	23	88	23
351	0.14741	8.2	6.1	90.0	54.0	14.299999999999999	Pass	23	88	23
64	0.10385	8.0	8.7	63.0	54.0	16.7	Pass	23	88	23
1287	0.71599	7.4	8.2	48.0	54.0	15.6	Pass	23	88	23
1333	0.44637	8.1	8.5	72.0	54.0	16.6	Pass	23	88	23
1343	0.99142	3.7	8.7	45.0	54.0	12.399999999999999	Pass	23	88	23
1382	0.64817	7.8	6.4	49.0	54.0	14.2	Pass	23	88	23
1036	0.30804	8.0	8.1	64.0	54.0	16.1	Pass	23	88	23
1032	0.93921	5.1	9.3	56.0	54.0	14.4	Pass	23	88	23
72	0.75407	7.3	9.6	61.0	54.0	16.9	Pass	23	88	23
99	0.95942	4.8	8.9	59.0	54.0	13.7	Pass	23	88	23
799	0.47806	8.0	7.2	47.0	54.0	15.2	Pass	23	88	23
791	0.33208	7.7	9.2	73.0	54.0	16.9	Pass	23	88	23
997	0.27553	7.9	9.0	64.0	54.0	16.9	Pass	23	88	23
144	0.36413	8.2	5.7	76.0	54.0	13.899999999999999	Pass	23	88	23
408	0.99847	3.7	8.1	51.0	54.0	11.8	Pass	23	88	23
499	0.99353	3.9	8.9	49.0	54.0	12.8	Pass	23	88	23
1348	0.70098	7.2	9.3	50.0	53.0	16.5	Pass	22	87	22
1188	0.19502	7.6	7.7	52.0	53.0	15.3	Pass	22	87	22
1009	0.45146	7.8	6.1	55.0	53.0	13.899999999999999	Pass	22	87	22
1041	0.94772	4.6	9.0	58.0	53.0	13.6	Pass	22	87	22
1115	0.20786	7.8	8.5	40.0	53.0	16.3	Pass	22	87	22
1076	0.94727	4.9	8.4	68.0	53.0	13.3	Pass	22	87	22
937	0.13207	7.6	6.3	59.0	53.0	13.899999999999999	Pass	22	87	22
935	0.70571	7.7	6.3	55.0	53.0	14.0	Pass	22	87	22
108	0.5582	7.6	9.0	59.0	53.0	16.6	Pass	22	87	22
1002	0.98689	3.9	6.9	67.0	53.0	10.8	Pass	22	87	22
714	0.77991	7.2	9.7	69.0	53.0	16.9	Pass	22	87	22
138	0.40247	7.7	8.3	59.0	53.0	16.0	Pass	22	87	22
753	0.7215	7.2	9.2	60.0	53.0	16.4	Pass	22	87	22
127	0.34342	8.0	6.4	60.0	53.0	14.4	Pass	22	87	22
805	0.78796	6.8	9.7	69.0	53.0	16.5	Pass	22	87	22
781	0.88336	6.3	7.3	60.0	53.0	13.6	Pass	22	87	22
750	0.68141	7.5	8.5	57.0	53.0	16.0	Pass	22	87	22
100	0.96301	4.1	9.0	47.0	53.0	13.1	Pass	22	87	22
529	0.78595	7.0	9.1	61.0	53.0	16.1	Pass	22	87	22
561	0.35115	8.1	8.2	92.0	53.0	16.299999999999997	Pass	22	87	22
601	0.92966	5.0	8.9	57.0	53.0	13.9	Pass	22	87	22
151	0.70141	7.2	9.5	53.0	53.0	16.7	Pass	22	87	22
158	0.25521	7.8	7.9	60.0	53.0	15.7	Pass	22	87	22
372	0.23837	7.7	8.8	63.0	53.0	16.5	Pass	22	87	22
314	0.99236	3.7	8.0	46.0	53.0	11.7	Pass	22	87	22
264	0.94013	4.9	9.8	70.0	53.0	14.700000000000001	Pass	22	87	22
1329	0.64748	7.5	8.5	77.0	52.0	16.0	Pass	21	85	21
639	0.13148	7.7	5.1	55.0	52.0	12.8	Pass	21	85	21
1056	0.63837	7.5	8.4	51.0	52.0	15.9	Pass	21	85	21
296	0.99151	3.6	8.8	66.0	52.0	12.4	Pass	21	85	21
146	0.18535	7.7	8.8	83.0	52.0	16.5	Pass	21	85	21
721	0.93822	4.8	6.5	42.0	52.0	11.3	Pass	21	85	21
1310	0.5816	7.5	7.3	61.0	52.0	14.8	Pass	21	85	21
585	0.53705	7.5	8.3	71.0	52.0	15.8	Pass	21	85	21
1261	0.77435	7.0	8.4	55.0	52.0	15.4	Pass	21	85	21
765	0.52232	7.7	6.0	59.0	52.0	13.7	Pass	21	85	21
797	0.97261	4.1	8.5	52.0	52.0	12.6	Pass	21	85	21
1249	0.49114	7.9	8.4	64.0	52.0	16.3	Pass	21	85	21
482	0.99142	3.8	8.4	72.0	52.0	12.2	Pass	21	85	21
495	0.17278	7.7	6.6	57.0	52.0	14.3	Pass	21	85	21
790	0.16956	7.5	9.4	72.0	52.0	16.9	Pass	21	85	21
945	0.68057	7.6	6.3	66.0	52.0	13.899999999999999	Pass	21	85	21
1227	0.22655	7.7	5.6	53.0	52.0	13.3	Pass	21	85	21
1213	0.50015	7.9	8.6	81.0	52.0	16.5	Pass	21	85	21
931	0.78445	6.6	8.4	49.0	52.0	15.0	Pass	21	85	21
184	0.56145	7.4	8.0	46.0	52.0	15.4	Pass	21	85	21
1017	0.39548	7.5	6.4	68.0	52.0	13.9	Pass	21	85	21
1201	0.98339	3.9	5.7	71.0	52.0	9.6	Pass	21	85	21
1366	0.98594	3.9	10.0	60.0	52.0	13.9	Pass	21	85	21
23	0.83527	6.5	9.2	65.0	52.0	15.7	Pass	21	85	21
370	0.38322	7.7	5.3	63.0	52.0	13.0	Pass	21	85	21
1011	0.97604	3.4	9.4	41.0	51.0	12.8	Pass	20	83	20
930	0.73588	6.9	7.9	60.0	51.0	14.8	Pass	20	83	20
731	0.96094	4.4	8.4	73.0	51.0	12.8	Pass	20	83	20
740	0.80469	6.4	8.5	60.0	51.0	14.9	Pass	20	83	20
736	0.97715	3.9	5.7	48.0	51.0	9.6	Pass	20	83	20
1235	0.49896	7.6	6.6	60.0	51.0	14.2	Pass	20	83	20
143	0.40478	7.7	9.0	59.0	51.0	16.7	Pass	20	83	20
220	0.4351	7.4	7.7	76.0	51.0	15.100000000000001	Pass	20	83	20
663	0.42512	7.3	8.8	67.0	51.0	16.1	Pass	20	83	20
674	0.55063	7.5	9.4	64.0	51.0	16.9	Pass	20	83	20
868	0.16274	7.3	6.5	66.0	51.0	13.8	Pass	20	83	20
1189	0.99226	3.4	9.6	55.0	51.0	13.0	Pass	20	83	20
967	0.65879	7.6	5.6	62.0	51.0	13.2	Pass	20	83	20
254	0.85633	6.0	8.4	58.0	51.0	14.4	Pass	20	83	20
237	0.66422	7.2	6.4	48.0	51.0	13.600000000000001	Pass	20	83	20
1186	0.48469	7.1	9.5	59.0	51.0	16.6	Pass	20	83	20
283	0.77297	6.6	9.7	61.0	51.0	16.299999999999997	Pass	20	83	20
14	0.97654	3.7	9.9	51.0	51.0	13.600000000000001	Pass	20	83	20
5	0.9832	3.4	9.0	47.0	51.0	12.4	Pass	20	83	20
645	0.28384	7.6	8.5	57.0	51.0	16.1	Pass	20	83	20
642	0.96756	4.2	9.2	65.0	51.0	13.399999999999999	Pass	20	83	20
90	0.78173	7.3	5.1	57.0	51.0	12.399999999999999	Pass	20	83	20
1141	0.19771	7.7	7.5	49.0	51.0	15.2	Pass	20	83	20
1033	0.66755	7.1	8.1	45.0	51.0	15.2	Pass	20	83	20
1020	0.74411	7.0	8.5	75.0	51.0	15.5	Pass	20	83	20
667	0.45895	7.4	9.4	41.0	51.0	16.8	Pass	20	83	20
627	0.92587	4.6	9.1	55.0	50.0	13.7	Pass	19	81	19
1094	0.99029	3.5	7.2	72.0	50.0	10.7	Pass	19	81	19
491	0.84508	5.5	8.9	47.0	50.0	14.4	Pass	19	81	19
532	0.96839	3.9	5.0	50.0	50.0	8.9	Pass	19	81	19
780	0.37963	7.5	7.0	43.0	50.0	14.5	Pass	19	81	19
836	0.86616	6.0	8.8	76.0	50.0	14.8	Pass	19	81	19
273	0.19712	7.3	8.6	65.0	50.0	15.899999999999999	Pass	19	81	19
481	0.95874	4.2	8.8	62.0	50.0	13.0	Pass	19	81	19
1285	0.95197	4.0	9.5	49.0	50.0	13.5	Pass	19	81	19
752	0.75631	6.2	9.0	47.0	50.0	15.2	Pass	19	81	19
728	0.35344	7.2	7.0	71.0	50.0	14.2	Pass	19	81	19
1319	0.16449	7.0	9.0	65.0	50.0	16.0	Pass	19	81	19
675	0.98345	3.5	6.8	56.0	50.0	10.3	Pass	19	81	19
711	0.96936	3.8	8.7	55.0	50.0	12.5	Pass	19	81	19
610	0.9328	5.3	5.9	64.0	50.0	11.2	Pass	19	81	19
123	0.98373	3.3	8.6	45.0	50.0	11.899999999999999	Pass	19	81	19
970	0.58451	7.1	8.0	87.0	50.0	15.1	Pass	19	81	19
461	0.74071	6.9	6.5	69.0	50.0	13.4	Pass	19	81	19
918	0.39595	7.0	9.8	66.0	50.0	16.8	Pass	19	81	19
214	0.88105	5.3	8.7	47.0	50.0	14.0	Pass	19	81	19
1038	0.2531	7.3	7.7	46.0	50.0	15.0	Pass	19	81	19
217	0.75217	7.3	6.2	79.0	50.0	13.5	Pass	19	81	19
587	0.19315	7.6	5.8	64.0	50.0	13.399999999999999	Pass	19	81	19
486	0.96087	3.6	9.6	52.0	50.0	13.2	Pass	19	81	19
166	0.9612	4.0	8.9	56.0	50.0	12.9	Pass	19	81	19
424	0.50453	7.1	9.6	42.0	50.0	16.7	Pass	19	81	19
426	0.97484	3.6	8.1	58.0	50.0	11.7	Pass	19	81	19
95	0.55376	7.4	8.2	82.0	50.0	15.6	Pass	19	81	19
439	0.35789	7.3	8.2	59.0	50.0	15.5	Pass	19	81	19
959	0.57661	7.3	7.6	53.0	50.0	14.899999999999999	Pass	19	81	19
915	0.18488	7.5	6.5	49.0	50.0	14.0	Pass	19	81	19
1079	0.98699	3.0	9.8	40.0	49.0	12.8	Fail	18	79	18
1335	0.64256	6.9	9.2	66.0	49.0	16.1	Fail	18	79	18
131	0.70779	6.9	8.8	52.0	49.0	15.700000000000001	Fail	18	79	18
754	0.20257	7.1	5.3	77.0	49.0	12.399999999999999	Fail	18	79	18
832	0.9783	3.8	5.8	58.0	49.0	9.6	Fail	18	79	18
769	0.22667	7.3	8.0	60.0	49.0	15.3	Fail	18	79	18
666	0.54814	7.3	6.7	70.0	49.0	14.0	Fail	18	79	18
1019	0.16471	6.9	8.9	58.0	49.0	15.8	Fail	18	79	18
921	0.95685	3.7	8.9	56.0	49.0	12.600000000000001	Fail	18	79	18
1024	0.50608	7.0	8.8	58.0	49.0	15.8	Fail	18	79	18
171	0.39146	6.9	8.8	58.0	49.0	15.700000000000001	Fail	18	79	18
115	0.27079	7.1	8.0	71.0	49.0	15.1	Fail	18	79	18
122	0.48421	7.3	8.4	68.0	49.0	15.7	Fail	18	79	18
557	0.84838	6.3	8.4	81.0	49.0	14.7	Fail	18	79	18
903	0.98884	3.0	10.0	40.0	49.0	13.0	Fail	18	79	18
487	0.81017	6.4	8.3	61.0	49.0	14.700000000000001	Fail	18	79	18
1054	0.65038	6.7	9.3	67.0	49.0	16.0	Fail	18	79	18
1123	0.79157	6.8	6.4	65.0	49.0	13.2	Fail	18	79	18
657	0.44118	7.3	8.0	60.0	49.0	15.3	Fail	18	79	18
31	0.46119	7.2	7.7	56.0	49.0	14.9	Fail	18	79	18
84	0.26974	7.1	8.8	53.0	49.0	15.9	Fail	18	79	18
79	0.92339	4.9	8.2	69.0	49.0	13.1	Fail	18	79	18
1191	0.49584	7.3	6.3	63.0	49.0	13.6	Fail	18	79	18
635	0.46173	7.1	5.9	56.0	48.0	13.0	Fail	17	77	17
1292	0.58365	6.9	8.9	69.0	48.0	15.8	Fail	17	77	17
735	0.60643	6.9	9.0	70.0	48.0	15.9	Fail	17	77	17
543	0.10832	7.0	8.6	75.0	48.0	15.6	Fail	17	77	17
798	0.66459	6.9	6.2	55.0	48.0	13.100000000000001	Fail	17	77	17
559	0.76374	6.4	6.5	51.0	48.0	12.9	Fail	17	77	17
161	0.72183	6.3	9.9	54.0	48.0	16.2	Fail	17	77	17
568	0.98651	3.2	9.7	44.0	48.0	12.899999999999999	Fail	17	77	17
742	0.60649	6.9	5.6	60.0	48.0	12.5	Fail	17	77	17
270	0.79696	6.1	8.3	63.0	48.0	14.4	Fail	17	77	17
831	0.93575	3.8	7.4	50.0	48.0	11.2	Fail	17	77	17
994	0.97417	3.2	8.9	40.0	48.0	12.100000000000001	Fail	17	77	17
1192	0.7947	6.7	7.2	67.0	48.0	13.9	Fail	17	77	17
468	0.97943	3.1	8.7	40.0	48.0	11.799999999999999	Fail	17	77	17
1224	0.96891	3.4	9.8	65.0	48.0	13.200000000000001	Fail	17	77	17
282	0.44035	6.9	9.0	70.0	48.0	15.9	Fail	17	77	17
965	0.66545	6.8	8.2	56.0	48.0	15.0	Fail	17	77	17
1059	0.63968	6.7	10.0	55.0	48.0	16.7	Fail	17	77	17
374	0.28384	7.0	8.4	59.0	48.0	15.4	Fail	17	77	17
323	0.73806	6.6	9.0	66.0	48.0	15.6	Fail	17	77	17
1153	0.84646	6.2	6.7	64.0	48.0	12.9	Fail	17	77	17
361	0.64097	7.1	6.2	59.0	48.0	13.3	Fail	17	77	17
59	0.28223	6.9	5.9	67.0	48.0	12.8	Fail	17	77	17
1137	0.39719	6.9	9.6	57.0	48.0	16.5	Fail	17	77	17
348	0.85083	6.1	7.0	60.0	48.0	13.1	Fail	17	77	17
617	0.84841	5.4	8.4	67.0	47.0	13.8	Fail	15	75	15
1151	0.95881	3.6	9.0	63.0	47.0	12.6	Fail	15	75	15
720	0.26186	6.7	8.3	55.0	47.0	15.0	Fail	15	75	15
240	0.30803	6.6	5.1	59.0	47.0	11.7	Fail	15	75	15
350	0.88644	4.5	9.4	51.0	47.0	13.9	Fail	15	75	15
1315	0.21435	6.7	6.5	70.0	47.0	13.2	Fail	15	75	15
1283	0.90074	4.5	9.0	61.0	47.0	13.5	Fail	15	75	15
173	0.75452	6.2	8.0	64.0	47.0	14.2	Fail	15	75	15
195	0.96483	3.9	7.1	84.0	47.0	11.0	Fail	15	75	15
38	0.14907	6.8	8.9	56.0	47.0	15.7	Fail	15	75	15
1121	0.46809	6.7	9.9	76.0	47.0	16.6	Fail	15	75	15
338	0.84802	5.2	8.5	48.0	47.0	13.7	Fail	15	75	15
741	0.36704	6.6	9.4	68.0	47.0	16.0	Fail	15	75	15
121	0.42434	6.7	5.7	56.0	47.0	12.4	Fail	15	75	15
927	0.96587	3.6	8.3	72.0	47.0	11.9	Fail	15	75	15
919	0.88879	5.1	8.2	61.0	47.0	13.299999999999999	Fail	15	75	15
438	0.18099	6.6	8.8	65.0	47.0	15.4	Fail	15	75	15
451	0.81492	5.5	9.8	54.0	47.0	15.3	Fail	15	75	15
1331	0.55288	6.8	8.4	50.0	47.0	15.2	Fail	15	75	15
236	0.26665	6.9	8.1	57.0	47.0	15.0	Fail	15	75	15
287	0.61861	6.4	9.5	56.0	47.0	15.9	Fail	15	75	15
258	0.92557	3.8	9.8	47.0	47.0	13.600000000000001	Fail	15	75	15
526	0.76745	6.0	9.3	54.0	47.0	15.3	Fail	15	75	15
840	0.13622	7.0	9.7	62.0	47.0	16.7	Fail	15	75	15
914	0.41671	6.8	7.4	78.0	47.0	14.2	Fail	15	75	15
1180	0.93919	4.4	6.5	60.0	47.0	10.9	Fail	15	75	15
0	0.95822	3.4	8.2	53.0	47.0	11.6	Fail	15	75	15
621	0.26512	6.9	8.6	45.0	47.0	15.5	Fail	15	75	15
1208	0.53173	6.9	9.6	64.0	47.0	16.5	Fail	15	75	15
956	0.48684	6.9	9.4	69.0	47.0	16.3	Fail	15	75	15
67	0.95774	3.8	8.4	76.0	47.0	12.2	Fail	15	75	15
1236	0.50205	6.9	8.6	60.0	47.0	15.5	Fail	15	75	15
1231	0.70479	6.3	8.6	57.0	47.0	14.899999999999999	Fail	15	75	15
251	0.68414	6.0	8.8	49.0	46.0	14.8	Fail	14	73	14
1264	0.71511	6.1	9.1	55.0	46.0	15.2	Fail	14	73	14
181	0.58693	6.5	9.3	81.0	46.0	15.8	Fail	14	73	14
813	0.87821	5.3	5.1	48.0	46.0	10.399999999999999	Fail	14	73	14
1290	0.16793	6.5	9.0	61.0	46.0	15.5	Fail	14	73	14
787	0.93904	3.9	9.5	62.0	46.0	13.4	Fail	14	73	14
1298	0.28458	6.4	6.0	66.0	46.0	12.4	Fail	14	73	14
593	0.78796	6.1	8.1	69.0	46.0	14.2	Fail	14	73	14
189	0.19297	6.9	7.8	50.0	46.0	14.7	Fail	14	73	14
718	0.28958	6.7	10.0	49.0	46.0	16.7	Fail	14	73	14
638	0.94015	3.8	9.8	71.0	46.0	13.600000000000001	Fail	14	73	14
